epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,5444.46,1.08917,1.24547,1.31834,0.64374,0.64874,0.68376,0.47022,1.20845,1.20337,1.55713,0.0087328,0.0087328,0.0087328
66,5527.57,1.09337,1.24692,1.32979,0.69488,0.60244,0.68048,0.46307,1.2176,1.18325,1.57061,0.008713,0.008713,0.008713
67,5611.27,1.09365,1.23166,1.32812,0.65152,0.61623,0.66359,0.45428,1.21792,1.21714,1.57487,0.0086932,0.0086932,0.0086932
68,5694.65,1.08874,1.24902,1.31602,0.63912,0.60785,0.66528,0.45855,1.20066,1.19663,1.55982,0.0086734,0.0086734,0.0086734
69,5778.54,1.08472,1.23011,1.31279,0.6325,0.64728,0.67724,0.46327,1.21246,1.2012,1.56395,0.0086536,0.0086536,0.0086536
70,5862.12,1.08614,1.21434,1.32425,0.63826,0.66539,0.68062,0.46902,1.23175,1.19151,1.57046,0.0086338,0.0086338,0.0086338
71,5945.36,1.08747,1.22205,1.32114,0.6932,0.61806,0.68989,0.46821,1.23353,1.19097,1.57419,0.008614,0.008614,0.008614
72,6028.98,1.082,1.21577,1.32279,0.67775,0.61583,0.69199,0.47824,1.21068,1.1646,1.55842,0.0085942,0.0085942,0.0085942
73,6112.49,1.09047,1.22375,1.31959,0.69647,0.61645,0.69027,0.47348,1.20919,1.17411,1.55762,0.0085744,0.0085744,0.0085744
74,6196.21,1.0843,1.22174,1.31571,0.65288,0.61542,0.67556,0.46766,1.22364,1.17429,1.55581,0.0085546,0.0085546,0.0085546
75,6279.56,1.07384,1.2152,1.31223,0.63949,0.62531,0.67934,0.46328,1.23455,1.1848,1.57251,0.0085348,0.0085348,0.0085348
76,6362.92,1.06984,1.20032,1.30888,0.67265,0.64957,0.6935,0.47422,1.22131,1.16355,1.56531,0.008515,0.008515,0.008515
77,6446.92,1.08264,1.20425,1.31508,0.6887,0.63015,0.69973,0.47648,1.21104,1.17064,1.55653,0.0084952,0.0084952,0.0084952
78,6530.22,1.07907,1.19757,1.31383,0.68733,0.66191,0.71063,0.48447,1.21551,1.15622,1.55986,0.0084754,0.0084754,0.0084754
79,6613.78,1.07735,1.18763,1.31375,0.63551,0.69509,0.71234,0.48096,1.22209,1.13585,1.56465,0.0084556,0.0084556,0.0084556
80,6697.48,1.07491,1.19753,1.31057,0.69381,0.67044,0.7133,0.48634,1.22639,1.15597,1.57633,0.0084358,0.0084358,0.0084358
81,6781,1.07706,1.18574,1.31374,0.6782,0.65723,0.70621,0.48575,1.21714,1.14355,1.57061,0.008416,0.008416,0.008416
82,6864.38,1.07287,1.1979,1.32213,0.64337,0.65954,0.69732,0.47909,1.211,1.15117,1.56823,0.0083962,0.0083962,0.0083962
83,6948.2,1.06684,1.1668,1.31112,0.66633,0.64931,0.70913,0.48601,1.19918,1.13972,1.55905,0.0083764,0.0083764,0.0083764
84,7031.82,1.07035,1.16686,1.30709,0.661,0.68836,0.71288,0.48863,1.19546,1.11482,1.54769,0.0083566,0.0083566,0.0083566
85,7115.56,1.06383,1.16766,1.30443,0.67295,0.65625,0.70747,0.49038,1.19768,1.12944,1.55671,0.0083368,0.0083368,0.0083368
86,7199.3,1.06207,1.14875,1.30334,0.63772,0.6896,0.70639,0.48991,1.20057,1.13753,1.56045,0.008317,0.008317,0.008317
87,7282.58,1.06362,1.15472,1.30474,0.6638,0.67144,0.72052,0.50133,1.20076,1.11023,1.56051,0.0082972,0.0082972,0.0082972
88,7366.66,1.06819,1.1554,1.31027,0.69068,0.6649,0.73233,0.50496,1.20681,1.0975,1.56368,0.0082774,0.0082774,0.0082774
89,7450.13,1.05902,1.15057,1.30452,0.66338,0.68479,0.72507,0.49622,1.20539,1.09631,1.55728,0.0082576,0.0082576,0.0082576
90,7533.46,1.06141,1.14733,1.30506,0.68691,0.67545,0.71756,0.49456,1.20436,1.11028,1.55386,0.0082378,0.0082378,0.0082378
91,7616.97,1.07115,1.13933,1.30831,0.69243,0.66797,0.72208,0.49403,1.21867,1.10901,1.56919,0.008218,0.008218,0.008218
92,7700.68,1.04912,1.12105,1.29416,0.67995,0.67131,0.72448,0.49453,1.21089,1.11659,1.5688,0.0081982,0.0081982,0.0081982
93,7784.09,1.05731,1.13585,1.30307,0.69809,0.68351,0.72829,0.4977,1.20682,1.09262,1.56883,0.0081784,0.0081784,0.0081784
94,7867.23,1.05575,1.14475,1.30161,0.68514,0.69306,0.72658,0.50156,1.21027,1.09199,1.56897,0.0081586,0.0081586,0.0081586
95,7951.61,1.05638,1.12115,1.30355,0.70157,0.68513,0.72822,0.50177,1.21119,1.07115,1.57377,0.0081388,0.0081388,0.0081388
96,8034.79,1.05481,1.13145,1.29518,0.69951,0.66409,0.72704,0.49964,1.20819,1.08056,1.56547,0.008119,0.008119,0.008119
97,8118.03,1.04819,1.12171,1.29423,0.73574,0.63682,0.72954,0.50176,1.20491,1.08034,1.56021,0.0080992,0.0080992,0.0080992
98,8202.3,1.05749,1.1292,1.29715,0.67516,0.68058,0.72517,0.49803,1.21507,1.08353,1.56573,0.0080794,0.0080794,0.0080794
99,8285.61,1.03846,1.10533,1.29126,0.69307,0.67699,0.73452,0.50405,1.20983,1.07921,1.55644,0.0080596,0.0080596,0.0080596
100,8369.19,1.04829,1.10584,1.28994,0.71524,0.68238,0.74659,0.51326,1.20124,1.07081,1.55217,0.0080398,0.0080398,0.0080398
101,8453.05,1.04918,1.1082,1.29687,0.71574,0.67655,0.74287,0.5149,1.19913,1.06486,1.55622,0.00802,0.00802,0.00802
102,8537.1,1.04776,1.10559,1.29018,0.73182,0.67058,0.74424,0.51326,1.20384,1.06053,1.55686,0.0080002,0.0080002,0.0080002
103,8620.7,1.06308,1.11408,1.30454,0.69627,0.69473,0.7428,0.51071,1.20339,1.06347,1.55377,0.0079804,0.0079804,0.0079804
104,8704.09,1.03906,1.09176,1.29,0.69529,0.71314,0.74549,0.51077,1.21176,1.06665,1.55606,0.0079606,0.0079606,0.0079606
105,8787.57,1.04867,1.09846,1.29179,0.72703,0.69408,0.74511,0.50882,1.21736,1.06275,1.56249,0.0079408,0.0079408,0.0079408
106,8871.13,1.03739,1.08953,1.2851,0.71237,0.69944,0.74676,0.51211,1.2086,1.06109,1.55262,0.007921,0.007921,0.007921
107,8954.51,1.05429,1.09932,1.29787,0.69485,0.71237,0.74416,0.50998,1.21123,1.06214,1.55551,0.0079012,0.0079012,0.0079012
108,9037.81,1.05219,1.09044,1.2997,0.71078,0.6882,0.74263,0.51417,1.2105,1.06001,1.55213,0.0078814,0.0078814,0.0078814
109,9121.02,1.03497,1.08342,1.2942,0.67565,0.71624,0.73839,0.51078,1.19474,1.06462,1.54509,0.0078616,0.0078616,0.0078616
110,9204.46,1.0388,1.0797,1.28476,0.69708,0.69776,0.74469,0.51223,1.19792,1.0607,1.54426,0.0078418,0.0078418,0.0078418
111,9288.38,1.03445,1.05799,1.2791,0.7239,0.66968,0.74743,0.51405,1.21022,1.05465,1.5514,0.007822,0.007822,0.007822
112,9371.73,1.04027,1.08582,1.28864,0.6887,0.70758,0.74653,0.51546,1.20891,1.05188,1.55198,0.0078022,0.0078022,0.0078022
113,9455,1.03136,1.06507,1.29151,0.73542,0.66786,0.74374,0.51146,1.20602,1.05246,1.5512,0.0077824,0.0077824,0.0077824
114,9538.14,1.03633,1.06751,1.28187,0.74295,0.66383,0.74829,0.51547,1.21327,1.04645,1.55517,0.0077626,0.0077626,0.0077626
115,9621.96,1.03481,1.0779,1.28702,0.76864,0.6708,0.75842,0.51716,1.21667,1.03743,1.55746,0.0077428,0.0077428,0.0077428
116,9705.39,1.03092,1.05588,1.28445,0.73149,0.69327,0.75813,0.52056,1.20925,1.04019,1.55546,0.007723,0.007723,0.007723
117,9788.73,1.0268,1.06129,1.28098,0.7146,0.71162,0.75694,0.52276,1.20661,1.0379,1.55263,0.0077032,0.0077032,0.0077032
118,9872.24,1.03773,1.0789,1.28844,0.70568,0.70503,0.75097,0.51639,1.20432,1.03978,1.55282,0.0076834,0.0076834,0.0076834
119,9956.24,1.02339,1.0444,1.28093,0.71071,0.70323,0.75274,0.5199,1.20285,1.03713,1.54825,0.0076636,0.0076636,0.0076636
120,10039.6,1.03372,1.05563,1.28218,0.69882,0.71435,0.75089,0.51783,1.20677,1.03865,1.5524,0.0076438,0.0076438,0.0076438
121,10123,1.0321,1.07003,1.28203,0.69876,0.70984,0.75124,0.51814,1.20727,1.0363,1.55417,0.007624,0.007624,0.007624
122,10206.3,1.03256,1.05,1.28371,0.73355,0.68369,0.75182,0.51915,1.20797,1.03076,1.55832,0.0076042,0.0076042,0.0076042
123,10289.6,1.02949,1.0448,1.27964,0.72778,0.68208,0.74991,0.52011,1.20901,1.02957,1.56086,0.0075844,0.0075844,0.0075844
124,10373.9,1.02121,1.03379,1.27758,0.7203,0.69513,0.75198,0.51901,1.20261,1.02611,1.55917,0.0075646,0.0075646,0.0075646
125,10457.3,1.02251,1.03254,1.27756,0.71807,0.70907,0.75128,0.51802,1.20039,1.02762,1.55569,0.0075448,0.0075448,0.0075448
126,10540.6,1.03127,1.03704,1.28137,0.72974,0.69312,0.74805,0.51632,1.20648,1.03098,1.56094,0.007525,0.007525,0.007525
127,10624,1.02105,1.0463,1.27706,0.72284,0.69217,0.75056,0.5185,1.20505,1.02785,1.55686,0.0075052,0.0075052,0.0075052
128,10707.3,1.02405,1.04023,1.2782,0.75629,0.67579,0.74983,0.51784,1.20374,1.02555,1.55585,0.0074854,0.0074854,0.0074854
129,10790.9,1.01365,1.0233,1.27182,0.73125,0.69436,0.75017,0.52108,1.20344,1.02665,1.55196,0.0074656,0.0074656,0.0074656
130,10874.4,1.02169,1.03641,1.27123,0.72853,0.69578,0.75375,0.51925,1.20471,1.02198,1.55415,0.0074458,0.0074458,0.0074458
131,10957.9,1.02913,1.01262,1.28161,0.7236,0.69707,0.75884,0.52067,1.1987,1.01809,1.54792,0.007426,0.007426,0.007426
132,11041.2,1.01568,1.00744,1.26977,0.73332,0.6972,0.7585,0.52171,1.20144,1.0161,1.55258,0.0074062,0.0074062,0.0074062
133,11124.9,1.0083,1.00538,1.26503,0.73716,0.70211,0.76316,0.52679,1.19935,1.01276,1.5513,0.0073864,0.0073864,0.0073864
134,11208.5,1.01449,1.01175,1.27447,0.74221,0.70815,0.76557,0.52946,1.19577,1.01234,1.54839,0.0073666,0.0073666,0.0073666
135,11292,1.01565,1.00067,1.27111,0.75616,0.69904,0.76858,0.52983,1.19814,1.0145,1.54997,0.0073468,0.0073468,0.0073468
136,11375.7,1.01703,0.99485,1.27128,0.75451,0.69841,0.76913,0.53003,1.1991,1.01726,1.55029,0.007327,0.007327,0.007327
137,11458.9,1.01099,0.99633,1.26704,0.7467,0.70024,0.769,0.53198,1.19834,1.01691,1.55012,0.0073072,0.0073072,0.0073072
